Röst 2022;Röst 2018;Votes
Socialdemokraterna;Centerpartiet;179
Vänsterpartiet;Annat parti;34
Moderaterna;Moderaterna;1131
Socialdemokraterna;Miljöpartiet;129
Sverigedemokraterna;Socialdemokraterna;156
Vänsterpartiet;Vänsterpartiet;600
Socialdemokraterna;Socialdemokraterna;2122
Miljöpartiet;Miljöpartiet;356
Centerpartiet;Vänsterpartiet;5
Centerpartiet;Kristdemokraterna;31
Moderaterna;Kristdemokraterna;112
Vänsterpartiet;Socialdemokraterna;125
Miljöpartiet;Socialdemokraterna;175
Miljöpartiet;Annat parti;14
Liberalerna;Centerpartiet;73
Liberalerna;Liberalerna;263
Centerpartiet;Annat parti;4
Moderaterna;Socialdemokraterna;150
Annat parti;Moderaterna;5
Centerpartiet;Liberalerna;118
Miljöpartiet;Vänsterpartiet;168
Sverigedemokraterna;Sverigedemokraterna;851
Kristdemokraterna;Kristdemokraterna;239
Sverigedemokraterna;Centerpartiet;18
Annat parti;Annat parti;42
Socialdemokraterna;Vänsterpartiet;166
Blankt;Socialdemokraterna;14
Centerpartiet;Moderaterna;104
Kristdemokraterna;Sverigedemokraterna;38
Moderaterna;Liberalerna;90
Moderaterna;Vänsterpartiet;10
Vänsterpartiet;Miljöpartiet;66
Sverigedemokraterna;Moderaterna;182
Miljöpartiet;Sverigedemokraterna;8
Centerpartiet;Centerpartiet;414
Socialdemokraterna;Moderaterna;155
Kristdemokraterna;Centerpartiet;35
Socialdemokraterna;Liberalerna;106
Kristdemokraterna;Moderaterna;113
Socialdemokraterna;Sverigedemokraterna;58
Blankt;Blankt;19
Liberalerna;Moderaterna;144
Sverigedemokraterna;Liberalerna;21
Annat parti;Vänsterpartiet;10
Moderaterna;Centerpartiet;108
Centerpartiet;Socialdemokraterna;107
Miljöpartiet;Moderaterna;17
Moderaterna;Sverigedemokraterna;70
Socialdemokraterna;Annat parti;22
Vänsterpartiet;Moderaterna;15
Socialdemokraterna;Kristdemokraterna;39
Annat parti;Centerpartiet;8
Liberalerna;Socialdemokraterna;31
Kristdemokraterna;Liberalerna;26
Blankt;Moderaterna;9
Moderaterna;Blankt;14
Liberalerna;Miljöpartiet;14
Sverigedemokraterna;Kristdemokraterna;58
Annat parti;Socialdemokraterna;12
Miljöpartiet;Centerpartiet;51
Annat parti;Sverigedemokraterna;13
Blankt;Annat parti;3
Liberalerna;Kristdemokraterna;35
Vänsterpartiet;Centerpartiet;15
Vänsterpartiet;Sverigedemokraterna;12
Miljöpartiet;Liberalerna;22
Blankt;Vänsterpartiet;3
Blankt;Centerpartiet;7
Sverigedemokraterna;Blankt;16
Kristdemokraterna;Socialdemokraterna;49
Centerpartiet;Miljöpartiet;36
Annat parti;Blankt;2
Liberalerna;Annat parti;7
Sverigedemokraterna;Annat parti;14
Socialdemokraterna;Blankt;14
Annat parti;Kristdemokraterna;8
Sverigedemokraterna;Vänsterpartiet;24
Sverigedemokraterna;Miljöpartiet;7
Liberalerna;Vänsterpartiet;5
Vänsterpartiet;Liberalerna;15
Miljöpartiet;Blankt;4
Moderaterna;Miljöpartiet;13
Vänsterpartiet;Kristdemokraterna;3
Annat parti;Miljöpartiet;3
Moderaterna;Annat parti;12
Kristdemokraterna;Blankt;8
Blankt;Miljöpartiet;2
Annat parti;Liberalerna;2
Centerpartiet;Blankt;5
Liberalerna;Blankt;4
Kristdemokraterna;Annat parti;4
Liberalerna;Sverigedemokraterna;4
Blankt;Kristdemokraterna;2
Blankt;Sverigedemokraterna;4
Kristdemokraterna;Miljöpartiet;3
Blankt;Liberalerna;2
Miljöpartiet;Kristdemokraterna;6
Vänsterpartiet;Blankt;3
Kristdemokraterna;Vänsterpartiet;1
Centerpartiet;Sverigedemokraterna;1
